HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
"Gemfire cache closed when a gemfire module is undeployed Need to investigate why this is happening, normally setting gfe client cache close false prevents the singleton cache from closing when the application context is closed. ",XD-598,
"Saving a metric Counter, Gauge.. with an existing name should throw an exception The difference between saving a new metric and updating an existing one needs to be defined. Suggest that if we try to save when an existing counter is already in the database to throw exception, such as ",XD-60,
"Rich Gauge doco is outdated The RichGauge section does not mention the alpha parameter in redis output, nor does it explain its meaning.",XD-605,
"Document JSON quoting behavior in shell This may be an issue following the search replace from curl to Shell, but for example, this documentation line does not work http post target data The backslash prior to quote is left in the payload and hence Jackson chokes on it We need clear rules about quoting at the shell level",XD-606,
Integration tests for DSL Reference examples ,XD-607,
Documentation for rabbit source should have rabbit added to the list and also the corresponding section that shows some basic usage.,XD-609,
Documentation for jms source should have jms added to the list and also the corresponding section that shows some basic usage.,XD-610,
Documentation for file source should have file added to the list and also the corresponding section that shows some basic usage.,XD-611,
Create a rabbit sink module and documentation should have rabbit added to the list and also the corresponding section that shows some basic usage.,XD-612,
"Deployed streams should be restarted on container start When using Redis store, stored deployed streams should be deployed on container restart.",XD-613,
Update to Spring Shell 1.1.0.M1 release ,XD-618,
Add list command for AggregateCounter ,XD-619,
Use the tuple data structure to process data in a spring batch step Do not require a POJO in order to do end to end processing in a batch step.,XD-62,
"Refactor test cases to move away from inheritance model of utility methods for streams, counters Model the API more akin to SpringXDOperations api.",XD-620,
"Set Default Hadoop Name Node for Shell Currently, you have to set the default name node every time your start the shell. We should do 2 things Provide a default Name node Set Default Hadoop Name Node for Shell Should we provide some form of persistence? It kind of sucks that you have to re specify the name node every time the shell starts up xd hadoop fs ls You must set fs URL before run fs commands ",XD-621,
Document tuple data structure on XD wiki ,XD-63,
"Pluralize test classes in package The classes under test are pluralized. Therefore, the test classes themselves should reflect that. E.g. rename JobCommandTests to JobCommandsTests as it tests class JobCommands . Please check all tests in that package for correct naming.",XD-631,
Shell HTTP Post Allow posting of local file contents E.g. allow for posting of JSON data stored in local files. Allow users to specify the content type . Ensure that Unicode data UTF posts correctly.,XD-632,
Rabbit Source Make Default QueueName Stream Name Consistency with JMS Source.,XD-633,
Fix guava dependency for hadoop20 and phd1 Spring Xd currently ships with Guava 12.0 while Hadoop 2.0.5 and Pivotal HD 1.0 depends on 11.0.2 this could lead to classpath problems if we include both.,XD-634,
OOTB source modules with poller should use fixed delay pollers should standardize on fixed delay vs fixed rate. The value should accept a property with a standard name like interval ,XD-635,
"x xd Transport Content Type Leakage The in the Rabbit transport exposes the internal transport content type, if none existed on the original transported message.",XD-636,
"Channel Registry Refactoring Factor out common Redis Rabbit code. Also, factor out common inbound tap code very similar . Change transport nternals to Use instead of .",XD-637,
"Update architecture diagram to show rabbit in addition to redis to communicate between admin and containers Figure 1 here should also show Rabbit as an option, since otherwise people will think we are tied to redis.",XD-642,
Map column names with underscore to camelCase style keys for JDBC sink We need to add support for matching column names with underscores like user name and map them to camel case style keys like userName in the ,XD-643,
"Split RichGauge in 2 support of the alpha parameter is awkward and can confuse people who are expecting a simple average mean. Consider splitting RichGauge in two flavors arithmetic and exponential. Involves quite some work at the repository, handler and REST level though... ",XD-646,
"HTTP source should emit raw payload Current implementation converts to a String. See if we can emit raw payload given that we also emit content type header Setting to 8 points, as this may have lots of implications down the line though",XD-647,
"Regression test on file source As we overwrote changes to file source by mistake, let s add some regression tests, esp. to the file location. Plan on extending the utility source and sink functionality",XD-648,
